name,phone,address,link
Mỹ Phẩm Việt,'097 850 25 61,"51, Tôn Đức Thắng, Đống Đa, Ha Loi, Vietnam",https://www.facebook.com/myphampizuviet?__tn__=%3C
Mỹ Phẩm Thái Nguyên,'096 566 69 68,"83 - Lương Ngọc Quyến, Thái Nguyên, Vietnam",https://www.facebook.com/thainguyenmyphamxachtaychinhhang?__tn__=%3C
Mỹ Phẩm Khánh Chi,'097 549 12 66,N/A,https://www.facebook.com/myphamkhanhchi?__tn__=%3C
My phẩm,'084 661 6364,"350 trần phú, Hà Đông, Vietnam",https://www.facebook.com/profile.php?id=100086437744325&__tn__=%3C
Mỹ Phẩm Diệu Linh,'094 216 36 38,"xóm 4 quỳnh đô, Hanoi, Vietnam",https://www.facebook.com/dieulinhquynhdo?__tn__=%3C
Vu Pham Diem My,'0918353500,"Ho Chi Minh City, Vietnam",https://www.facebook.com/Diemmy9x
Tú Beauté - Dược Mỹ Phẩm,'096 817 33 60,"Shophouse Mộc Lan 6-12 Vinhomes Green Bay, Nam Từ Liêm, Hanoi, Vietnam",https://www.facebook.com/tubeaute.vn?__tn__=%3C
Mỹ Phẩm Chính Hãng,'032 665 2345,"Phùng Khoang, Vietnam",https://www.facebook.com/chuyenmyphamchinhhang1221
Mỹ Phẩm chính hãng,'039 776 1200,"Phùng Khoang, Vietnam",https://www.facebook.com/myphamhanquoc.haihuyen
Mỹ Phẩm Cao Cấp,'096 883 30 83,N/A,https://www.facebook.com/HaritoVietNam?__tn__=%3C
Mỹ Phẩm Chính Hãng,'097 623 51 31,"11 Duy Tân, Cầu Giấy, Hanoi, Vietnam",https://www.facebook.com/mypham.sao?__tn__=%3C
Mỹ phẩm Hạnh Thơm,'098 212 35 67,"217 Giảng Võ, Hanoi, Vietnam",https://www.facebook.com/sieumypham158giangvo?__tn__=%3C
Mỹ Phẩm Nhập Ngoại,'096 845 67 89,N/A,https://www.facebook.com/camnangphaidepviet?__tn__=%3C
"Mỹ phẩm, thực phẩm chức năng xách tay Hàn Quốc - Nhật Bản",'036 463 5869,N/A,https://www.facebook.com/huyenvuhuy2018?__tn__=%3C
Mỹ phẩm Hàn Quốc,'096 428 68 92,"Thanh Xuân, Hanoi, Vietnam",https://www.facebook.com/MyPhamHanQuoc999.VN
Mỹ Phẩm Ocadar,'0888561444,"54 ngô quyền, Cam Pha, Vietnam",https://www.facebook.com/myphamocadar?__tn__=%3C
Mỹ Phẩm Authentic,,N/A,https://www.facebook.com/myphamauthentic28?__tn__=%3C
Mỹ phẩm trang điểm,'0164 540 5180,N/A,https://www.facebook.com/khosiquanaotoanquoc?__tn__=%3C
Mỹ Phẩm Giá Gốc,'094 910 9788,"Số nhà 8, Ngõ 34 Vĩnh Tuy, Hai Bà Trưng, Hà Nội, Hanoi, Vietnam",https://www.facebook.com/myphamgiagoc.88?__tn__=%3C
"Onvaon - Mỹ Phẩm, Giảm Cân, Mẹ và Bé",'098 965 20 51,"Ngõ 2 Phú Đô, Nam Từ Liêm,, Hanoi, Vietnam",https://www.facebook.com/Onvaoncom?__tn__=%3C
Care4u - Mỹ phẩm chính hãng,'098 298 82 98,"Green Diamond, 93 Láng Hạ, Hanoi, Vietnam",https://www.facebook.com/care.4ucosmetic?__tn__=%3C
MC Pham My Linh,,N/A,https://www.facebook.com/phammylinhmc?__tn__=%3C
Mỹ Phẩm Tài Chính,'098 550 13 39,"Số 99 Lê Văn Hiến, Hanoi, Vietnam",https://www.facebook.com/AOFcosmetic?__tn__=%3C
Mỹ Phẩm Tóc THT,'097 222 06 58,"112 Nguyễn khuyến, văn quán hà đông, Hanoi, Vietnam",https://www.facebook.com/phukientoc126xcity?__tn__=%3C
