phone,address,description,name,link
N/A,N/A,N/A,Duy Thường Mỹ Phẩm Chính Hãng,https://www.facebook.com/Thuong1994gaming?__tn__=%3C
918353500,"Ho Chi Minh City, Vietnam",N/A,Vu Pham Diem My,https://www.facebook.com/Diemmy9x?__tn__=%3C
N/A,N/A,N/A,MC Pham My Linh,https://www.facebook.com/phammylinhmc?__tn__=%3C
N/A,N/A,N/A,Mỹ Phẩm Authentic,https://www.facebook.com/myphamauthentic28?__tn__=%3C
034 314 5678,"88 Trần Hoà - Hoàng Mai, Hanoi, Vietnam",N/A,Mỹ Phẩm Hàn Quốc,https://www.facebook.com/HNK999?__tn__=%3C
096 990 17 84,"Hà Đông, Hanoi, Vietnam",N/A,Mỹ Phẩm Linh Hương,https://www.facebook.com/myphamlinhhuong.handmade?__tn__=%3C
N/A,"Hà Nội, Hà Đông, Vietnam",N/A,Mỹ phẩm,https://www.facebook.com/profile.php?id=61553150794531&__tn__=%3C
084 661 6364,"350 trần phú, Hà Đông, Vietnam",N/A,My phẩm,https://www.facebook.com/profile.php?id=100086437744325&__tn__=%3C
094 736 72 32,"356 nguyễn trãi, Hà Đông, Vietnam",N/A,My phẩm,https://www.facebook.com/profile.php?id=100086251123090&__tn__=%3C
0886-134-652,Official page of Miyu Vietnam,N/A,Miyu Vietnam,https://www.facebook.com/miyu.vietnam?__cft__[0]=AZZ6TVbCLUszqylcR10G84cvszUp1I9zfz_OCsAWZECB8uWC8e8D3F4phbMcKwMhdCkJj6sUn8LGuG2959gYFhd6k38_463WRHLqt2xdxRmqHdxBT0cFAinlHWpkxWwhblXbVq1DfP453Y-8TzojmoMTdu0obnwhzSdPeKCWRKJDllPenhtJFBxkL_lf97CELPBeFlvoEB7xSCqmf5kKQ6OOCK_dK09QGEY6zBsf9GbCOdPfVHuqNeMRSbYvSkYT7CysejUA7Z_jGhgQ8sQpYbXHBAXCFVtn-TduJcoIiM4rTp4-0g3a0akih2Xz6pjrGQw&__tn__=%3C%2CP-R
098 264 66 37,"861 thanh bình, Hà Đông, Vietnam",N/A,My phẩm,https://www.facebook.com/profile.php?id=100086324499464&__tn__=%3C
094 732 32 63,"462 thanh bình, Hà Đông, Vietnam",N/A,My phẩm,https://www.facebook.com/profile.php?id=100086455413528&__tn__=%3C
085 763 6445,"546 thanh bình, Hà Đông, Vietnam",N/A,My phẩm,https://www.facebook.com/profile.php?id=100086311029706&__tn__=%3C
084 736 3632,"451 trần phú, Hà Đông, Vietnam",N/A,My phẩm,https://www.facebook.com/profile.php?id=100086190105933&__tn__=%3C
945475231,"Đội 2_Đại độ _Võng La_Đông Anh, Hanoi, Vietnam",N/A,Mỹ phẩm,https://www.facebook.com/profile.php?id=61552800695665&__tn__=%3C
888561444,"54 ngô quyền, Cam Pha, Vietnam",N/A,Mỹ Phẩm Ocadar,https://www.facebook.com/myphamocadar?__tn__=%3C
097 836 06 94,"Đường Hồ Chí Minh, Hà Nội, Việt Nam, Xuân Mai, Vietnam",N/A,"Mỹ phẩm, gia dụng mọi người muốn gì cũng có",https://www.facebook.com/profile.php?id=100071875189405&__tn__=%3C
036 463 5869,N/A,N/A,"Mỹ phẩm, thực phẩm chức năng xách tay Hàn Quốc - Nhật Bản",https://www.facebook.com/huyenvuhuy2018?__tn__=%3C
096 845 67 89,N/A,N/A,Mỹ Phẩm Nhập Ngoại,https://www.facebook.com/camnangphaidepviet?__tn__=%3C
097 479 77 27,"41A Trần Quốc Vượng, Hanoi, Vietnam",N/A,Mỹ phẩm THE FACE SHOP,https://www.facebook.com/linhnamshop.vn?__tn__=%3C
094 910 9788,"Số nhà 8, Ngõ 34 Vĩnh Tuy, Hai Bà Trưng, Hà Nội, Hanoi, Vietnam",N/A,Mỹ Phẩm Giá Gốc,https://www.facebook.com/myphamgiagoc.88?__tn__=%3C
098 298 82 98,"Green Diamond, 93 Láng Hạ, Hanoi, Vietnam",N/A,Care4u - Mỹ phẩm chính hãng,https://www.facebook.com/care.4ucosmetic?__tn__=%3C
096 566 69 68,"83 - Lương Ngọc Quyến, Thái Nguyên, Vietnam",N/A,Mỹ Phẩm Thái Nguyên,https://www.facebook.com/thainguyenmyphamxachtaychinhhang?__tn__=%3C
037 802 2173,"Hà Nội, Hà Đông, Vietnam",N/A,Mỹ phẩm 35+,https://www.facebook.com/profile.php?id=61583223068571&__tn__=%3C
092 966 36 63,"233 Trương Định, Hoàng Mai, Hà Nội, Hanoi, Vietnam",N/A,Cam Cam Cosmetics - Shop mỹ phẩm,https://www.facebook.com/camcamcosmetics2024?__tn__=%3C
096 428 68 92,"Thanh Xuân, Hanoi, Vietnam",N/A,Mỹ phẩm Hàn Quốc,https://www.facebook.com/MyPhamHanQuoc999.VN?__tn__=%3C
096 817 33 60,"Shophouse Mộc Lan 6-12 Vinhomes Green Bay, Nam Từ Liêm, Hanoi, Vietnam",N/A,Tú Beauté - Dược Mỹ Phẩm,https://www.facebook.com/tubeaute.vn?__tn__=%3C
097 181 02 85,"136 Hồ Tùng Mậu Phú Diễn Bắc Từ Liêm, Hanoi, Vietnam",N/A,Mỹ phẩm Trang Nhung,https://www.facebook.com/profile.php?id=100091208508085&__tn__=%3C
096 816 68 46,N/A,N/A,Mỹ phẩm Laone,https://www.facebook.com/profile.php?id=100088244139435&__tn__=%3C
N/A,N/A,N/A,MỸ PHẨM SỐ 1,https://www.facebook.com/myphamso1.linhdien?__tn__=%3C
097 549 12 66,N/A,N/A,Mỹ Phẩm Khánh Chi,https://www.facebook.com/myphamkhanhchi?__tn__=%3C
097 714 72 68,N/A,N/A,Mỹ Phẩm Pháp BeautyMart,https://www.facebook.com/BeautyMart.com.vn?__tn__=%3C
N/A,"Phố Thành Công, Hà Nội, Việt Nam, Hanoi, Vietnam",N/A,Mỹ Phẩm ADA,https://www.facebook.com/profile.php?id=100078851861005&__tn__=%3C
096 698 07 02,"CT1B - KĐT Tân Tây Đô, Hanoi, Vietnam",N/A,Mỹ Phẩm Linh Yến,https://www.facebook.com/linhyenshop1?__tn__=%3C
094 216 36 38,"xóm 4 quỳnh đô, Hanoi, Vietnam",N/A,Mỹ Phẩm Diệu Linh,https://www.facebook.com/dieulinhquynhdo?__tn__=%3C
098 550 13 39,"Số 99 Lê Văn Hiến, Hanoi, Vietnam",N/A,Mỹ Phẩm Tài Chính,https://www.facebook.com/AOFcosmetic?__tn__=%3C
077 731 7778,N/A,N/A,MỸ PHẨM CAO CẤP,https://www.facebook.com/HomeBeauty.myphamcaocap?__tn__=%3C
098 770 95 85,"Dương Nội, Hà Đông, Vietnam",N/A,Mỹ phẩm AA Cosmetics,https://www.facebook.com/profile.php?id=100083056134794&__tn__=%3C
091 485 86 86,N/A,N/A,Mỹ Phẩm Nhập Khẩu Reborn,https://www.facebook.com/thichlamdepbangmypham?__tn__=%3C
