STT,Tên doanh nghiệp,Địa chỉ,Tên sản phẩm,Mã hồ sơ,Nhóm sản phẩm,Ngày công bố,Ghi chú
36001,CÔNG TY CỔ PHẦN DƯỢC PHẨM ATOKO PHARMAR,"số 7, ngách 989/2, đường tam trinh, Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội",NGŨ CỐC DINH DƯỠNG NGUYÊN CÁM ORACARE CANXI,20.10.100.22890,,2/10/2020,
36002,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU DƯỢC MẶT TRỜI,"Thôn 1, xã Nam Phù, Thành phố Hà Nội, Việt nam, Xã Đông Mỹ, Huyện Thanh Trì, Thành phố Hà Nội",Nguyên Liệu Thực Phẩm Chức Năng GINKGO BILOBA EXTRACT,20.10.100.22889,,5/10/2020,
36003,CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH NIÊN KHANG,"Số nhà 2, hẻm 141/150/31, phố Giáp Nhị, tổ 28, Phường Thịnh Liệt, Quận Hoàng Mai, Thành phố Hà Nội","Nguyên liệu SXTP, thực phẩm chức năng: Cao khô Lá Khôi Tía (Ardisia sylvestris Pitard Extract)",20.10.100.22886,,4/3/2021,
36004,CÔNG TY TNHH DƯỢC MỸ PHẨM AN DIỆP,"số nhà 99 đường lý thường kiệt, Phường Phú La, Quận Hà Đông, Thành phố Hà Nội",Nguyên liệu thực phẩm Slippery Elm Bark Powder,20.10.100.22883,,19-10-2020,
36005,Công ty cổ phần đầu tư và thương mại Khang Việt,"số 8, hẻm 29/40 phố trạm, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội",Cối nhựa của máy xay sinh tố nhãn hiệu Philips,20.10.100.22882,,2/10/2020,
36007,Công ty cổ phần HSC Smart retail Việt Nam,"Căn P2-01, khu đô thị Hà Nội Garden city, Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội",KHAY NHỰA,20.10.100.22880,,2/10/2020,
36008,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI IAP,"Ô 227, Lô C, Khu đô thị mới Đại Kim- Định Công, phố Nguyễn Cảnh Dị, Phường Đại Kim, Quận Hoàng Mai, Thành phố Hà Nội",Nguyên liệu thực phẩm Beta-Glucanase,20.10.100.22876,,5/10/2020,Công ty có công văn số 32/2025/CV-IAP ngày 25/11/2025 v.v xin hủy bản tự CB
36009,CÔNG TY TNHH OMNI ASIA PHARMA,"số nhà 51, tổ 25, đường thanh am, Phường Thượng Thanh, Quận Long Biên, Thành phố Hà Nội",Thực Phẩm Bổ Sung Finlay Sure Gold,20.10.100.22875,,2/10/2020,
36011,Công ty cổ phần TMDV Bảo Sâm VNK,"số nhà 122, phố sài đồng, Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội",NƯỚC UỐNG HỒNG SÂM - KOREAN RED GINSENG DRINK,20.10.100.22873,,2/10/2020,
36015,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU LIBRA-PER,"12/8/19 đường số 8, khu phố 4, Phường Hiệp Bình Phước, Quận Thủ Đức, Thành phố Hồ Chí Minh",THỰC PHẨM BỔ SUNG DINH DƯỠNG MEIJI STEP RAKURAKU CUBE,20.10.100.22869,,2/10/2020,
36017,Công ty Cổ phần Đầu tư Thương mại Bách Tường Phát,"tầng 5, n01-t4 tower, chung cư phú mỹ complex, khu ngoại giao đoàn, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội",Bộ nồi inox 7 món,20.10.100.22867,,1/10/2020,
36018,Công ty Cổ phần công nghệ NashLey Việt Nam,"số 8 ngõ 185 phố đặng tiến đông, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội",Chai thủy tinh đựng thực phẩm,20.10.100.22866,,1/10/2020,
36019,Công Ty TNHH Queen Pack,"số 24, đường nguyễn văn hưởng, tổ 6, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội",Nắp giấy tráng nhôm dùng cho khay nhôm đựng thực phẩm,20.10.100.22865,,1/10/2020,
36021,Công ty cổ phần Dược Phẩm  MEDIBEST,"Lô CN2B, Cụm Công nghiệp Quất Động mở rộng, Xã Nguyễn Trãi, Huyện Thường Tín, Thành phố Hà Nội",Sản phẩm dinh dưỡng MEDIDIET,20.10.100.22861,,22-01-2021,
36022,CÔNG TY TNHH XUẤT NHẬP KHẨU QUỐC TẾ AMC,"số 65 đường 2, Xã Mai Đình, Huyện Sóc Sơn, Thành phố Hà Nội",HẠT CHIA ÚC,20.10.100.22860,,1/10/2020,
36023,CÔNG TY CP HÓA DƯỢC QUỐC TẾ HÀ NỘI,"số 8, ngõ 4, phố xốm, Phường Phú Lãm, Quận Hà Đông, Thành phố Hà Nội",Nguyên liệu thực phẩm “Inositol”,20.10.100.22859,,1/10/2020,
36025,CÔNG TY CỔ PHẦN QUỐC TẾ HƯNG ĐẠI VIỆT,"số nhà 575, dịch vụ 14, khu đất dịch vụ đìa lão, Phường Kiến Hưng, Quận Hà Đông, Thành phố Hà Nội",Dụng cụ tiếp xúc trực tiếp với thực phẩm: Túi nhựa PE,20.10.100.22857,,2/10/2020,
36026,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ SẢN XUẤT TMP,"209c5, khu đô thị đại kim, Phường Đại Kim, Quận Hoàng Mai, Thành phố Hà Nội",Nguyên liệu thực phẩm: BỘT GIA VỊ TMP TASTE,20.10.100.22856,,6/10/2020,
36030,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU MATH IMEX,"đội 3 quyết tiến, Xã Vân Côn, Huyện Hoài Đức, Thành phố Hà Nội",THỰC PHẨM BỔ SUNG RED GINSENG MATH KIDS STICK,20.10.100.22852,,1/10/2020,
36033,Công ty TNHH Hóa Dược Phẩm Hồng Thái,"số nhà 16, khu tập thể trung tâm nhiệt đới việt nga, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội","Nguyên liệu SXTP, TP chức năng: Horse Chestnut Extract ( chiết xuất hạt dẻ ngựa)",20.10.100.22848,,1/10/2020,
36036,CÔNG TY CỔ PHẦN DƯỢC PHẨM YUTAKA,"số 42, phố yên ninh, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội",Thực phẩm ĐÔNG TRÙNG HẠ THẢO KHÔ YUTAKA,20.09.100.22829,,1/10/2020,
36038,CÔNG TY CỔ PHẦN DƯỢC PHẨM NOVACO,"Số 29 ngõ 93 Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",Nguyên liệu thực phẩm: BACILLUS CLAUSII,20.09.100.22825,,30-09-2020,
36039,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI ĐẦU TƯ VFI,"Số 5, Đường Nghi Tàm, Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội",Phụ gia thực phẩm: SIÊU NGỌT TỐ V300F,20.09.100.22823,,1/10/2020,
36040,Công ty TNHH HEROLIFE Việt Nam,"số nhà 153, tổ dân phố 2 miêu nha, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội",Màng nhựa tiếp xúc thực phẩm PVC/PE FILM,20.09.100.22819,,30-09-2020,
36041,CÔNG TY TNHH BERLIN LOVE VIETNAM,"nhà số 11, lô d5, khu đô thị nam thăng long, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội",TRÀ LÁ TRE TÚI LỌC BLEAF – BLEAF BAMBOO TEA,20.09.100.22818,,30-09-2020,
36043,CÔNG TY TNHH QUỐC TẾ G&M,"Số 15 - 17 Ngõ 231/51 Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Thành phố Hà Nội",Phụ gia thực phẩm: MILK POWDER FLAVOUR (Dùng trong thực phẩm),20.09.100.22816,,30-09-2020,
36045,Công ty TNHH một thành viên thương mại New Light Việt Nam,"số nhà 11,hẻm 27/9/42 đường tây mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội",Bánh quế cuộn vị dừa,20.09.100.22814,,30-09-2020,
36053,CÔNG TY TNHH HÀNG TIÊU DÙNG VIỆT CHÂU,"14c phố hàng than, Phường Nguyễn Trung Trực, Quận Ba Đình, Thành phố Hà Nội",KHAY HỘP TRỮ THỨC ĂN CHO BÉ,20.09.100.22806,,30-09-2020,
36055,CÔNG TY CỔ PHẦN HÓA DƯỢC HÙNG PHƯƠNG,"A10-NV4 ô số 28, KĐTM hai bên đường Lê Trọng Tấn, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",Phụ gia thực phẩm “Refined Soybean Oil”,20.09.100.22804,,13-10-2020,
