Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CÔNG TY TNHH KINH DOANH XĂNG DẦU PETRO,0312840195,Mã số thuế: 0312840195,"Số 22 Đường 546, Phường Phước Long A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ FAKITA,0106473493,Mã số thuế: 0106473493,"Tầng 2, số nhà 96, phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THIẾT BỊ ĐIỆN VÀ CHIẾU SÁNG PHI MÃ,0313150733-001,Mã số thuế: 0313150733-001,"173/44/12 An Dương Vương, Phường An Lạc, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN THIẾT BỊ ĐIỆN CHIẾU SÁNG THÁI LINH,0106873011,Mã số thuế: 0106873011,"Số nhà 56, Ngõ 242 Phố Yên Duyên, Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THIẾT BỊ ĐÔ THỊ MIỀN BẮC,0107090990,Mã số thuế: 0107090990,"Số nhà 15, tổ 1, đường Thống Nhất, Phường Cự Khối, Quận Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH MEVAL VIỆT NAM,1101826404,Mã số thuế: 1101826404,"K3-3, KCN Tân Kim Mở Rộng, Ấp Tân Phước, Xã Tân Kim, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam"
CHI NHÁNH CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI ÁNH SÁNG TUẤN KHƯƠNG - KHO CHỨA HÀNG,0309342841-002,Mã số thuế: 0309342841-002,"Thôn Thuận Điền, Xã Hàm Liêm, Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN ECICO - XÍ NGHIỆP CƠ KHÍ XÂY DỰNG ECICO,0400556070-004,Mã số thuế: 0400556070-004,"Lô X1 đường số 5 Khu Công Nghiệp Hòa Khánh, Phường Hoà Khánh Bắc, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN VINALED,0311167160-001,Mã số thuế: 0311167160-001,"714/28 Tân Kỳ Tân Quý, Khu phố 15, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ PHÁT TRIỂN THƯƠNG MẠI PHƯƠNG ANH,0105987880,Mã số thuế: 0105987880,"Số 18B, ngõ 47/7 Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
